Profile,Machine learning,Artificial intelligence,Optimization,Statistical analysis,Data visualization,Modeling,Web scraping
Data Analyst,25,3,28,63,44,57,25
Data Engineer,73,13,42,32,22,53,0
Data scientist,201,392,89,0,106,174,0
