Tool,Cantidad
R,596
Analytics,98
SQL,92
Excel,58
Python,39
BI,21
Tableau,20
Spark,17
Hadoop,17
Java,16
AWS,12
Scala,9
C++,6
Mongo,6
Matlab,5
Hive,3
Tensorflow,2
Perl,1
