skill,analyst,expense,ciencia
Machine Learning,25,73,201
Artificial Intelligence,3,13,392
Optimization,28,42,89
Statistical Analysis,63,32,0
Data Visualization,44,22,106
Modeling,57,53,174
Web Scraping,25,0,0
